product_id,product_name,category,unit_price
1,Producto_1,Deportes,63580.36
2,Producto_2,Hogar,129339.45
3,Producto_3,Electrónica,57279.92
4,Producto_4,Deportes,132287.14
5,Producto_5,Electrónica,82326.55
6,Producto_6,Electrónica,134336.2
7,Producto_7,Alimentos,130484.36
8,Producto_8,Deportes,37455.41
9,Producto_9,Hogar,116435.44
10,Producto_10,Electrónica,40847.59
11,Producto_11,Ropa,103250.93
12,Producto_12,Electrónica,73136.02
13,Producto_13,Deportes,39619.34
14,Producto_14,Deportes,70596.39
15,Producto_15,Deportes,68290.68
16,Producto_16,Ropa,73098.13
17,Producto_17,Alimentos,50733.34
18,Producto_18,Ropa,84136.48
19,Producto_19,Alimentos,125745.2
20,Producto_20,Alimentos,134885.07
21,Producto_21,Ropa,4000.34
22,Producto_22,Alimentos,11509.07
23,Producto_23,Hogar,112859.84
24,Producto_24,Alimentos,22398.47
25,Producto_25,Electrónica,17034.68
26,Producto_26,Hogar,83433.74
27,Producto_27,Electrónica,84680.13
28,Producto_28,Ropa,142132.5
29,Producto_29,Deportes,138944.08
30,Producto_30,Ropa,121957.32
31,Producto_31,Hogar,3230.26
32,Producto_32,Ropa,89770.07
33,Producto_33,Alimentos,57086.24
34,Producto_34,Hogar,41294.86
35,Producto_35,Deportes,52903.77
36,Producto_36,Alimentos,147719.23
37,Producto_37,Alimentos,118059.22
38,Producto_38,Deportes,20863.0
39,Producto_39,Deportes,102815.43
40,Producto_40,Alimentos,18537.11
41,Producto_41,Ropa,58696.43
42,Producto_42,Deportes,95093.37
43,Producto_43,Hogar,22392.05
44,Producto_44,Alimentos,129939.74
45,Producto_45,Alimentos,61227.71
46,Producto_46,Alimentos,93923.96
47,Producto_47,Alimentos,49977.26
48,Producto_48,Electrónica,83470.8
49,Producto_49,Deportes,1382.78
50,Producto_50,Alimentos,139239.54
51,Producto_51,Ropa,2533.93
52,Producto_52,Deportes,90373.97
53,Producto_53,Deportes,39785.32
54,Producto_54,Electrónica,54182.35
55,Producto_55,Deportes,29120.15
56,Producto_56,Ropa,146753.92
57,Producto_57,Electrónica,42964.09
58,Producto_58,Deportes,18680.25
59,Producto_59,Hogar,127634.78
60,Producto_60,Ropa,108336.32
61,Producto_61,Alimentos,45994.18
62,Producto_62,Deportes,49400.5
63,Producto_63,Deportes,43947.1
64,Producto_64,Deportes,145013.18
65,Producto_65,Ropa,146293.27
66,Producto_66,Alimentos,91900.11
67,Producto_67,Ropa,133975.62
68,Producto_68,Deportes,106756.29
69,Producto_69,Ropa,42819.65
70,Producto_70,Hogar,57704.79
71,Producto_71,Hogar,76798.81
72,Producto_72,Electrónica,63829.77
